sample_id,pad_name,level,level_index,severity,severity_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,brightness,contrast,base_r,base_g,base_b,blurred
0,Leukocytes,Negative,0,0,Normal,183.8789,203.0078,222.7764,7.3842,7.1605,7.3792,105.2373,44.3848,222.8145,7.6961,10.8335,7.3291,199.5498,4.8169,195,200,210,0
1,Leukocytes,Negative,0,0,Normal,207.0889,203.9229,235.0723,6.8651,7.239,7.2015,122.7217,36.5146,235.0723,8.8789,9.3976,7.2015,208.4043,4.7726,195,200,210,0
2,Leukocytes,Negative,0,0,Normal,219.043,213.083,223.4443,2.715,2.8597,2.8728,136.5098,12.1787,223.6904,14.5354,4.3697,2.665,216.0459,1.8606,195,200,210,1
3,Leukocytes,Negative,0,0,Normal,214.3691,220.9463,232.2305,7.3135,7.0995,7.1016,109.0645,22.0049,232.9346,20.2332,9.2712,6.4468,220.2559,4.76,195,200,210,0
4,Leukocytes,Negative,0,0,Normal,173.2197,187.4131,195.9697,7.1996,7.0358,7.4346,100.792,31.168,197.1348,14.4305,11.2571,6.5522,184.1533,4.7698,195,200,210,1
5,Leukocytes,Negative,0,0,Normal,209.707,180.6338,200.2734,7.2072,7.2531,7.1681,153.5664,36.2656,210.709,29.1484,11.1594,6.4405,191.5615,4.748,195,200,210,0
6,Leukocytes,Negative,0,0,Normal,170.9697,224.748,216.0176,7.225,7.251,7.0939,85.4053,61.7148,225.7393,5.0678,10.1075,6.5779,207.6846,4.857,195,200,210,0
7,Leukocytes,Negative,0,0,Normal,191.2832,183.9053,186.1465,7.0948,7.2061,7.2922,96.7412,18.2676,194.1816,63.4182,8.1135,5.1971,186.3623,4.7955,195,200,210,0
8,Leukocytes,Negative,0,0,Normal,191.8887,179.1494,220.2607,7.2354,7.134,7.1812,128.9951,48.042,220.2607,7.2143,9.9776,7.1812,187.6484,4.8179,195,200,210,1
9,Leukocytes,Negative,0,0,Normal,211.7451,197.7344,209.2422,7.1062,7.195,7.0926,130.3418,20.9219,214.6973,49.6385,9.5678,5.7335,203.2402,4.8496,195,200,210,0
10,Leukocytes,Negative,0,0,Normal,185.2881,191.2725,206.9365,7.1269,7.1146,7.1286,111.8975,28.6553,207.1387,14.7175,10.721,6.897,191.2764,4.8803,195,200,210,1
11,Leukocytes,Negative,0,0,Normal,217.9365,214.8887,217.7246,2.6463,2.643,2.6113,112.0146,6.1787,219.4502,55.7908,2.8984,1.9793,216.1211,1.8716,195,200,210,1
12,Leukocytes,Negative,0,0,Normal,194.0508,208.9121,199.0713,2.7852,2.5951,2.9,69.7988,18.3672,208.915,7.8947,4.3654,2.5901,203.3525,1.7376,195,200,210,1
13,Leukocytes,Negative,0,0,Normal,186.0391,186.0117,203.958,7.1889,7.0262,7.06,119.4805,27.5264,204.1367,17.7442,10.5376,6.8285,188.0625,4.6727,195,200,210,1
14,Leukocytes,Negative,0,0,Normal,198.1309,186.8428,224.4727,7.1387,7.189,7.0732,128.5859,43.3232,224.4727,7.7581,9.9565,7.0732,194.499,4.8557,195,200,210,1
15,Leukocytes,Negative,0,0,Normal,212.1533,222.1016,230.7803,7.2549,7.2331,7.3595,103.2871,22.8457,232.1553,19.4225,9.1789,6.3294,220.1123,4.8836,195,200,210,0
16,Leukocytes,Negative,0,0,Normal,215.5586,218.7598,202.0781,7.0286,7.2798,7.3685,41.0781,22.6621,221.4844,29.3094,10.2156,6.0528,215.916,4.8383,195,200,210,1
17,Leukocytes,Negative,0,0,Normal,177.8193,202.9727,215.3389,2.6925,2.5753,2.5201,99.8301,44.4092,215.3389,2.5304,3.9875,2.5201,196.8633,1.8548,195,200,210,1
18,Leukocytes,Negative,0,0,Normal,193.3027,190.7266,205.0293,7.4083,7.2813,7.123,120.2822,22.6768,205.9502,29.6763,10.003,6.2206,193.1191,4.846,195,200,210,1
19,Leukocytes,Negative,0,0,Normal,182.0273,221.7559,228.376,7.1329,6.9466,7.2466,93.9648,52.9814,229.9561,6.1319,9.6206,6.3166,210.6318,4.6229,195,200,210,1
20,Leukocytes,Negative,0,0,Normal,176.9951,181.6943,214.9688,7.2173,7.1436,7.1706,116.667,47.5166,214.9688,7.6477,9.9676,7.1706,184.0918,4.6745,195,200,210,1
21,Leukocytes,Negative,0,0,Normal,178.9072,181.085,197.1523,7.2458,7.331,7.0915,115.6084,27.8477,197.459,18.9217,10.9517,6.7177,182.2695,4.8593,195,200,210,0
22,Leukocytes,Negative,0,0,Normal,173.4053,215.1846,229.7646,7.2351,7.2219,7.2122,97.5186,62.5986,230.0371,5.0429,10.1125,6.9304,204.3525,4.8104,195,200,210,0
23,Leukocytes,Negative,0,0,Normal,179.8359,196.9062,199.8662,7.0122,7.1554,7.2737,93.8643,28.8818,202.7988,16.3366,10.958,5.9163,192.1514,4.8392,195,200,210,1
24,Leukocytes,Negative,0,0,Normal,194.9932,194.1514,230.1084,2.8724,2.7936,2.8022,120.6611,41.1045,230.1084,3.1215,3.7057,2.8022,198.4805,1.9389,195,200,210,1
